ID,pwr_wm2,area_km2,depth,cable,territory
1,0.17,0.2919570307368674,50,cable2,US Virgin Islands
1,0.16,0.2919570307368674,50,cable2,US Virgin Islands
1,0.1,0.2919570307368674,50,cable2,US Virgin Islands
1,0.1,0.2919570307368674,50,cable2,US Virgin Islands
1,0.09,0.2919570307368674,50,cable2,US Virgin Islands
1,0.07,0.2919570307368674,50,cable2,US Virgin Islands
1,0.07,0.2919570307368674,50,cable2,US Virgin Islands
1,0.06,0.2919570307368674,50,cable2,US Virgin Islands
1,0.06,0.2919570307368674,50,cable2,US Virgin Islands
1,0.05,0.2919570307368674,50,cable2,US Virgin Islands
1,0.05,0.2919570307368674,50,cable2,US Virgin Islands
1,0.61,0.29196549322490634,50,cable2,US Virgin Islands
1,0.57,0.29196549322490634,50,cable2,US Virgin Islands
1,0.55,0.29196549322490634,50,cable2,US Virgin Islands
1,0.52,0.29196549322490634,50,cable2,US Virgin Islands
1,0.49,0.29196549322490634,50,cable2,US Virgin Islands
1,0.34,0.29196549322490634,50,cable2,US Virgin Islands
1,0.32,0.29196549322490634,50,cable2,US Virgin Islands
1,0.29,0.29196549322490634,50,cable2,US Virgin Islands
1,0.19,0.29196549322490634,50,cable2,US Virgin Islands
1,0.17,0.29196549322490634,50,cable2,US Virgin Islands
1,0.15,0.29196549322490634,50,cable2,US Virgin Islands
1,0.1,0.29196549322490634,50,cable2,US Virgin Islands
1,0.09,0.29196549322490634,50,cable2,US Virgin Islands
1,0.07,0.29196549322490634,50,cable2,US Virgin Islands
1,0.07,0.29196549322490634,50,cable2,US Virgin Islands
1,0.06,0.29196549322490634,50,cable2,US Virgin Islands
1,0.06,0.29196549322490634,50,cable2,US Virgin Islands
1,0.05,0.29196549322490634,50,cable2,US Virgin Islands
1,0.05,0.29196549322490634,50,cable2,US Virgin Islands
1,0.06,0.29196549322490634,50,cable2,US Virgin Islands
1,0.54,0.29197395349843974,50,cable2,US Virgin Islands
1,0.52,0.29197395349843974,50,cable2,US Virgin Islands
1,0.5,0.29197395349843974,50,cable2,US Virgin Islands
1,0.47,0.29197395349843974,50,cable2,US Virgin Islands
1,0.44,0.29197395349843974,50,cable2,US Virgin Islands
1,0.35,0.29197395349843974,50,cable2,US Virgin Islands
1,0.32,0.29197395349843974,50,cable2,US Virgin Islands
1,0.29,0.29197395349843974,50,cable2,US Virgin Islands
1,0.18,0.29197395349843974,50,cable2,US Virgin Islands
1,0.17,0.29197395349843974,50,cable2,US Virgin Islands
1,0.15,0.29197395349843974,50,cable2,US Virgin Islands
1,0.11,0.29197395349843974,50,cable2,US Virgin Islands
1,0.1,0.29197395349843974,50,cable2,US Virgin Islands
1,0.09,0.29197395349843974,50,cable2,US Virgin Islands
1,0.07,0.29197395349843974,50,cable2,US Virgin Islands
1,0.07,0.29197395349843974,50,cable2,US Virgin Islands
1,0.06,0.29197395349843974,50,cable2,US Virgin Islands
1,0.06,0.29197395349843974,50,cable2,US Virgin Islands
1,0.05,0.29197395349843974,50,cable2,US Virgin Islands
1,0.05,0.29197395349843974,50,cable2,US Virgin Islands
1,0.06,0.29197395349843974,50,cable2,US Virgin Islands
1,0.53,0.29198241155740645,50,cable2,US Virgin Islands
1,0.51,0.29198241155740645,50,cable2,US Virgin Islands
1,0.48,0.29198241155740645,50,cable2,US Virgin Islands
1,0.45,0.29198241155740645,50,cable2,US Virgin Islands
1,0.42,0.29198241155740645,50,cable2,US Virgin Islands
1,0.4,0.29198241155740645,50,cable2,US Virgin Islands
1,0.35,0.29198241155740645,50,cable2,US Virgin Islands
1,0.32,0.29198241155740645,50,cable2,US Virgin Islands
1,0.28,0.29198241155740645,50,cable2,US Virgin Islands
1,0.18,0.29198241155740645,50,cable2,US Virgin Islands
1,0.16,0.29198241155740645,50,cable2,US Virgin Islands
1,0.1,0.29198241155740645,50,cable2,US Virgin Islands
1,0.09,0.29198241155740645,50,cable2,US Virgin Islands
1,0.07,0.29198241155740645,50,cable2,US Virgin Islands
1,0.07,0.29198241155740645,50,cable2,US Virgin Islands
1,0.06,0.29198241155740645,50,cable2,US Virgin Islands
1,0.06,0.29198241155740645,50,cable2,US Virgin Islands
1,0.05,0.29198241155740645,50,cable2,US Virgin Islands
1,0.05,0.29198241155740645,50,cable2,US Virgin Islands
1,0.05,0.29198241155740645,50,cable2,US Virgin Islands
1,0.06,0.29198241155740645,50,cable2,US Virgin Islands
1,0.06,0.29198241155740645,50,cable2,US Virgin Islands
1,0.47,0.2919908674017457,50,cable2,US Virgin Islands
1,0.45,0.2919908674017457,50,cable2,US Virgin Islands
1,0.42,0.2919908674017457,50,cable2,US Virgin Islands
1,0.39,0.2919908674017457,50,cable2,US Virgin Islands
1,0.36,0.2919908674017457,50,cable2,US Virgin Islands
1,0.31,0.2919908674017457,50,cable2,US Virgin Islands
1,0.27,0.2919908674017457,50,cable2,US Virgin Islands
1,0.25,0.2919908674017457,50,cable2,US Virgin Islands
1,0.17,0.2919908674017457,50,cable2,US Virgin Islands
1,0.15,0.2919908674017457,50,cable2,US Virgin Islands
1,0.1,0.2919908674017457,50,cable2,US Virgin Islands
1,0.09,0.2919908674017457,50,cable2,US Virgin Islands
1,0.09,0.2919908674017457,50,cable2,US Virgin Islands
1,0.07,0.2919908674017457,50,cable2,US Virgin Islands
1,0.06,0.2919908674017457,50,cable2,US Virgin Islands
1,0.06,0.2919908674017457,50,cable2,US Virgin Islands
1,0.05,0.2919908674017457,50,cable2,US Virgin Islands
1,0.04,0.2919908674017457,50,cable2,US Virgin Islands
1,0.05,0.2919908674017457,50,cable2,US Virgin Islands
1,0.05,0.2919908674017457,50,cable2,US Virgin Islands
1,0.06,0.2919908674017457,50,cable2,US Virgin Islands
1,0.06,0.2919908674017457,50,cable2,US Virgin Islands
1,0.41,0.291999321031396,50,cable2,US Virgin Islands
1,0.38,0.291999321031396,50,cable2,US Virgin Islands
1,0.36,0.291999321031396,50,cable2,US Virgin Islands
1,0.33,0.291999321031396,50,cable2,US Virgin Islands
1,0.29,0.291999321031396,50,cable2,US Virgin Islands
1,0.26,0.291999321031396,50,cable2,US Virgin Islands
1,0.24,0.291999321031396,50,cable2,US Virgin Islands
1,0.15,0.291999321031396,50,cable2,US Virgin Islands
1,0.14,0.291999321031396,50,cable2,US Virgin Islands
1,0.1,0.291999321031396,50,cable2,US Virgin Islands
1,0.09,0.291999321031396,50,cable2,US Virgin Islands
1,0.08,0.291999321031396,50,cable2,US Virgin Islands
1,0.07,0.291999321031396,50,cable2,US Virgin Islands
