territory,depth_factor,energy_factor,area_km2,cable2_km2,cable2_pct,cable3_km2,cable3_pct
Hawaii,<0,11-12,31.22470075946005,0,0,0,0
Hawaii,0-100,<=7,1281.773966175835,103.89669309749478,0.08105695375251686,145.9138425144014,0.11383742092198555
Hawaii,0-100,10-11,185.7869695187873,14.245355744659781,0.07667575278049439,21.487513181298528,0.11565672897810872
Hawaii,0-100,7-8,41.37272850628457,7.282573605995267,0.17602352730710122,9.580694819577829,0.2315702919647301
Hawaii,0-100,8-9,1668.1796380741532,67.61252852468343,0.04053072401887089,100.70641977989433,0.060369049880117154
Hawaii,0-100,9-10,605.759194733525,33.77485539278218,0.05575624057615803,49.01524940244714,0.08091540306541954
Hawaii,0-100,11-12,195.9349972656118,13.016344452850234,0.0664319526092887,19.42523877455674,0.09914124095055696
Hawaii,100-200,<=7,633.861425417039,24.863992023681245,0.039226226785014376,36.18547242761478,0.05708735533765465
Hawaii,100-200,10-11,89.77101468344765,7.8221957559778446,0.08713498208258677,11.517001778343879,0.12829310016106382
Hawaii,100-200,7-8,43.71458106324407,10.80473421934135,0.24716545272868112,15.78867536022521,0.3611764078759658
Hawaii,100-200,8-9,557.3609085563619,22.544373844438454,0.04044843026905376,32.707917290376656,0.0586835509779372
Hawaii,100-200,9-10,501.9370647083203,15.856638994204825,0.031590890789105694,26.900535259157156,0.05359344258585342
Hawaii,100-200,11-12,105.38336506317766,1.0076905879943845,0.009562140926039615,1.4593835033820608,0.013848328932248043
Hawaii,"200-1,000",<=7,3418.324115641889,574.8546121187239,0.1681685506322382,738.6349758383868,0.2160810241657517
Hawaii,"200-1,000",10-11,708.0200897207566,169.6307929313813,0.23958471714875176,246.13217754164634,0.3476344543256124
Hawaii,"200-1,000",7-8,117.09262784797518,36.57315321460638,0.3123437733594158,49.57510839319495,0.42338368609815286
Hawaii,"200-1,000",8-9,4563.490015995086,115.74472138583975,0.025363202500751213,187.38417181424455,0.041061593464094555
Hawaii,"200-1,000",9-10,5917.861411436666,938.6932818145242,0.15862035565760904,1332.2803977129051,0.22512869178351888
Hawaii,"200-1,000",11-12,996.0679542267756,127.5075557539267,0.12801090047406238,183.90016882903655,0.18462612721216795
Hawaii,">1,000",<=7,31271.53781059924,5161.736838182632,0.16506181657728078,6734.631827076333,0.21535979035842884
Hawaii,">1,000",10-11,3056.8982043511387,579.8604437740157,0.18968915711640377,724.9124288559775,0.23713986544404686
Hawaii,">1,000",7-8,330.98182805027653,162.49595651137582,0.4909512932132712,229.0997138036599,0.6921821513683204
Hawaii,">1,000",8-9,51850.17684612139,20128.853913622206,0.3882118661496509,24554.397171486584,0.47356438618055274
Hawaii,">1,000",9-10,37685.09134659233,12410.344907272374,0.32931709765895467,15680.98954739436,0.4161059184698596
Hawaii,">1,000",11-12,12329.0730948728,346.7345919423713,0.028123330056869015,661.0283016196222,0.05361540940936745
West,<0,<=7,1820.415201452843,2.966408589592729,0.0016295230820009016,5.357370095658889,0.0029429385622484704
West,<0,7-8,243.50753503792072,0,0,0,0
West,<0,8-9,72.00491627465398,0.7706809063612362,0.010703170647703663,1.2153326652316414,0.016878467861776315
West,<0,9-10,1.3091802959027996,0.07215857555504143,0.055117370602710984,0.10640735065905749,0.08127784308400386
West,0-100,<=7,15544.552243401891,455.5143957193527,0.029303796506116947,632.2960886732782,0.04067637837182897
West,0-100,10-11,373.77097448024927,0,0,0,0
West,0-100,7-8,10980.09514173678,0,0,0,0
West,0-100,8-9,11542.388078827033,147.37274176052128,0.012767959347239144,208.90764382745007,0.018099169981181207
West,0-100,9-10,964.8658780803634,167.6505757690143,0.1737553162337561,235.5509958075932,0.2441282266880768
West,100-200,<=7,4135.700554756944,498.2815071119456,0.12048297513677937,633.5240149437055,0.15318420822683035
West,100-200,10-11,718.0853923026856,0,0,0,0
West,100-200,7-8,4931.682174665846,0,0,0,0
West,100-200,8-9,14255.009651937633,176.6376093544719,0.012391265503665384,248.8138299937596,0.017454483446101295
West,100-200,9-10,2536.536823311674,328.8274728033849,0.1296363883943429,485.02717608950127,0.19121629602690143
West,"200-1,000",<=7,16326.132880055862,499.8108240853722,0.0306141587697075,672.4064798357999,0.04118590022363576
West,"200-1,000",10-11,2977.075992882966,0,0,0,0
West,"200-1,000",7-8,12128.900851391487,0,0,0,0
West,"200-1,000",8-9,26319.760668829884,1374.514398466616,0.05222366630766646,1728.0623705573526,0.06565646216547372
West,"200-1,000",9-10,8947.592732347684,1674.1251490684272,0.18710341419721363,2448.2188174466014,0.2736175964509097
West,">1,000",<=7,10208.33335730208,625.2116341292004,0.06124522115865103,844.7474912347834,0.08275077445727522
West,">1,000",10-11,7585.390634460821,2004.5903122593295,0.2642698852122885,2519.7204809590967,0.33218071453194203
