territory,depth_factor,energy_factor,area_km2,cable2_km2,cable3_km2,cable2_pct,cable3_pct
Hawaii,0-100,9-10,200.66524970891786,13.586992573922071,18.382775646624943,0.0677097434340583,0.09160916338673854
Hawaii,0-100,10-11,190.43526545808857,12.77626878487597,19.963786368855477,0.06708982579535827,0.10483240234329998
Hawaii,0-100,11-12,42.32854452298499,7.186544465363685,9.581793549344416,0.16978009866276622,0.22636718690247826
Hawaii,100-200,<=7,650.7971011765977,24.796042520218098,37.59332766731987,0.03810103406328717,0.057765050888139546
Hawaii,100-200,7-8,569.4105345858002,23.14771054929811,35.116160981016336,0.04065205882805836,0.06167107710179701
Hawaii,100-200,8-9,513.071642997768,17.54335757896966,31.894372497563584,0.03419280293190161,0.06216358462379948
Hawaii,100-200,9-10,108.00186209795694,0.7981651308057574,3.1946472657647282,0.00739029045704626,0.02957955727529221
Hawaii,100-200,10-11,92.06867725120897,7.185836029482166,11.976732762072196,0.07804865068144343,0.13008477062610269
Hawaii,100-200,11-12,44.73004226483532,10.379560704708565,18.36404919030545,0.23204898048729306,0.41055291389121745
Hawaii,"200-1,000",<=7,3509.4186593482837,543.6644389712922,686.3305173903199,0.15491581134758464,0.19556815074260045
Hawaii,"200-1,000",7-8,4660.653678279391,144.15526466993973,226.96847439368145,0.03093026743046023,0.04869885000283332
Hawaii,"200-1,000",8-9,6045.848030279747,941.8165939719929,1342.8086038202916,0.15577907172906796,0.22210426016251664
Hawaii,"200-1,000",9-10,1020.2396984236733,130.39893852760736,184.8007688049209,0.12781206095889125,0.18113465795385955
Hawaii,"200-1,000",10-11,726.8825877529331,162.6730957224914,237.2089172823636,0.22379555992030983,0.32633732225676965
Hawaii,"200-1,000",11-12,120.20226018025907,36.10642074597401,50.54628688378006,0.3003805476854403,0.4205102866450204
Hawaii,">1,000",<=7,32211.762907638982,5144.447241083609,6714.427984629671,0.15970710003778182,0.20844646112297543
Hawaii,">1,000",7-8,52949.57289237703,20103.006429344456,24541.083242669723,0.3796632405365184,0.46348028703745825
Hawaii,">1,000",8-9,38417.87077346875,12391.883598138445,15653.40649161995,0.32255518977632247,0.4074511725004328
Hawaii,">1,000",9-10,12748.720426465346,343.3721831339786,662.6130935025716,0.026933854665223092,0.051974870523243934
Hawaii,">1,000",10-11,3149.884084845134,586.8422223026619,731.1445763812759,0.18630597396459886,0.2321179309102173
Hawaii,">1,000",11-12,340.21965304842547,163.67243550824682,227.86613776214776,0.4810787208843293,0.6697618309830979
West,0-100,<=7,15311.966012463341,448.87581799173483,622.5124277296661,0.02931536143865311,0.040655290589266285
West,0-100,7-8,10531.650550441582,149.5573390802441,211.38320729259084,0.014200750239854218,0.02007123254613948
West,0-100,8-9,10978.60993533139,165.32696896774064,234.96874434787946,0.015059007464659527,0.021402413031517086
West,0-100,9-10,930.8958338425997,7.486901807150187,14.35051111576349,0.008042684836439077,0.015415807648989805
West,0-100,10-11,360.11425479684226,0,0,0,0
West,100-200,<=7,3970.961473075724,499.42464468683505,630.2911335544987,0.12576919924131214,0.15872506893558558
West,100-200,7-8,4811.639667285652,171.05973068117282,237.25688626945498,0.035551234612227575,0.04930894719373212
West,100-200,8-9,13385.40645582945,329.9183975706696,499.58003248698486,0.024647618931809688,0.03732273906926553
West,100-200,9-10,2470.5922827565123,29.266489821390056,42.976279246072615,0.011845940759086552,0.01739513214949523
West,100-200,10-11,693.5711766473951,0,0,0,0
West,"200-1,000",<=7,17723.707732813193,502.9527261953336,672.9216357086997,0.028377399005749825,0.037967317327337255
West,"200-1,000",7-8,12835.011298119405,1364.8826308650252,1726.3309202375667,0.10634058663158394,0.13450170632031386
West,"200-1,000",8-9,25807.373418023762,1664.9902753675528,2462.1511284533076,0.06451606865984783,0.09540494836773089
West,"200-1,000",9-10,8790.8012886992,224.20730711361952,322.98021649000424,0.025504763416941724,0.03674070268261024
West,"200-1,000",10-11,2892.1535506999903,0,0,0,0
West,">1,000",<=7,11213.796827961032,627.9352401555466,840.6231408334087,0.05599666640917035,0.07496329331893704
West,">1,000",7-8,16660.316736265275,1576.6140085024658,1972.9210947615688,0.09463289524805839,0.1184203833572396
West,">1,000",8-9,37872.9360497614,5544.501062749897,7533.5256610789675,0.1463974447469548,0.1989158076147209
West,">1,000",9-10,32370.069216750744,5895.27162469398,7984.184558966451,0.18212106947375067,0.2466533051104761
